5_16_1;2;1016;0530
5_16_3;1;1016;0602
5_16_4;2;1016;0630
5_16_6;1;1016;0702
5_16_7;2;1016;0730
5_16_9;1;1016;0802
5_16_10;2;1016;0830
5_16_12;1;1016;0902
5_16_13;2;1016;0930
5_16_15;1;1016;1002
5_16_16;2;1016;1030
5_16_18;1;1016;1102
5_16_19;2;1016;1130
5_16_21;1;1016;1202
5_16_22;2;1016;1230
5_16_24;1;1016;1302
5_16_25;2;1016;1330
5_16_27;1;1016;1402
5_16_28;2;1016;1430
5_16_30;1;1016;1502
5_16_31;2;1016;1530
5_16_33;1;1016;1602
5_16_34;2;1016;1630
5_16_36;1;1016;1702
5_16_37;2;1016;1730
5_16_39;1;1016;1802
5_16_40;2;1016;1830
5_16_42;1;1016;1902
5_16_43;2;1016;1930
5_16_45;1;1016;2002
5_16_46;2;1016;2030
5_16_48;1;1016;2110
5_16_49;2;1016;2140
5_16_51;1;1016;2210
5_16_52;2;1016;2240
5_16_54;1;1016;2310
5_16_55;2;1016;0600
5_16_57;1;1016;0632
5_16_58;2;1016;0700
5_16_60;1;1016;0732
5_16_61;2;1016;0810
5_16_63;1;1016;0842
5_16_64;2;1016;0910
5_16_66;1;1016;0942
5_16_67;2;1016;1010
5_16_69;1;1016;1042
5_16_70;2;1016;1110
5_16_72;1;1016;1142
5_16_73;2;1016;1210
5_16_75;1;1016;1242
5_16_76;2;1016;1310
5_16_78;1;1016;1342
5_16_79;2;1016;1410
5_16_81;1;1016;1442
5_16_82;2;1016;1510
5_16_84;1;1016;1542
5_16_85;2;1016;1610
5_16_87;1;1016;1642
5_16_88;2;1016;1710
5_16_90;1;1016;1742
5_16_91;2;1016;1810
5_16_93;1;1016;1842
5_16_94;2;1016;1910
5_16_96;1;1016;1942
5_16_97;2;1016;2010
5_16_99;1;1016;2042
5_16_100;2;1016;2110
5_16_102;1;1016;2140
5_16_103;2;1016;2210
5_16_105;1;1016;2240
5_16_106;2;1016;2310
5_16_108;1;1016;2340
5_16_109;2;1016;0750
5_16_111;1;1016;0822
5_16_112;2;1016;0850
5_16_114;1;1016;0922
5_16_115;2;1016;0950
5_16_117;1;1016;1022
5_16_118;2;1016;1050
5_16_120;1;1016;1122
5_16_121;2;1016;1150
5_16_123;1;1016;1222
5_16_124;2;1016;1250
5_16_126;1;1016;1322
5_16_127;2;1016;1350
5_16_129;1;1016;1422
5_16_130;2;1016;1450
5_16_132;1;1016;1522
5_16_133;2;1016;1550
5_16_135;1;1016;1622
5_16_136;2;1016;1650
5_16_138;1;1016;1722
5_16_139;2;1016;1750
5_16_141;1;1016;1822
5_16_142;2;1016;1850
5_16_144;1;1016;1922
5_16_145;2;1016;1950
5_16_147;1;1016;2022
5_16_148;2;1016;2050
6_73_1;2;1073N;0545
6_73_2;1;1073N;0625
6_73_3;2;1073N;0715
6_73_5;1;1073N;0800
6_73_6;2;1073N;0845
6_73_8;1;1073N;0930
6_73_10;2;1073N;1013
6_73_11;1;1073N;1104
6_73_13;2;1073N;1153
6_73_14;1;1073N;1244
6_73_16;2;1073N;1333
6_73_17;1;1073N;1424
6_73_19;2;1073N;1513
6_73_20;1;1073N;1604
6_73_22;2;1073N;1653
6_73_23;1;1073N;1744
6_73_25;2;1073N;1833
6_73_26;1;1073N;1924
6_73_28;2;1073N;2014
6_73_29;1;1073N;2104
6_73_31;2;1073N;0615
6_73_33;1;1073N;0700
6_73_34;2;1073N;0745
6_73_36;1;1073N;0830
6_73_37;2;1073N;0913
6_73_38;1;1073N;1004
6_73_40;2;1073N;1053
6_73_41;1;1073N;1144
6_73_43;2;1073N;1233
6_73_44;1;1073N;1324
